iter	Passed	Remaining
1245	89671	126231
1246	89725	126133
1247	89786	126046
1248	89867	125986
1249	89942	125919
1250	90019	125854
1251	90106	125803
1252	90181	125735
1253	90252	125662
1254	90318	125582
1255	90386	125505
1256	90465	125442
1257	90517	125342
1258	90583	125262
1259	90658	125195
1260	90741	125139
1261	90794	125040
1262	90866	124968
1263	90927	124881
1264	91007	124821
1265	91078	124746
1266	91134	124653
1267	91187	124556
1268	91276	124507
1269	91369	124464
1270	91418	124360
1271	91501	124304
1272	91578	124238
1273	91649	124165
1274	91722	124095
1275	91790	124018
1276	91878	123967
1277	91965	123915
1278	92048	123859
1279	92115	123780
1280	92173	123689
1281	92252	123626
1282	92325	123555
1283	92397	123484
1284	92483	123431
1285	92537	123335
1286	92619	123277
1287	92692	123206
1288	92759	123127
1289	92827	123049
1290	92902	122981
1291	92976	122913
1292	93044	122835
1293	93110	122756
1294	93192	122697
1295	93267	122629
1296	93348	122569
1297	93422	122499
1298	93496	122430
1299	93577	122370
1300	93641	122288
1301	93692	122189
1302	93778	122135
1303	93849	122061
1304	93940	122014
1305	94010	121939
1306	94076	121860
1307	94160	121803
1308	94238	121739
1309	94312	121669
1310	94400	121619
1311	94455	121524
1312	94530	121457
1313	94609	121393
1314	94669	121306
1315	94759	121258
1316	94817	121168
1317	94880	121083
1318	94957	121018
1319	95008	120920
1320	95084	120853
1321	95160	120786
1322	95237	120720
1323	95297	120632
1324	95371	120564
1325	95458	120510
1326	95517	120423
1327	95593	120355
1328	95679	120300
1329	95732	120205
1330	95805	120134
1331	95886	120073
1332	95962	120007
1333	96042	119944
1334	96122	119883
1335	96201	119819
1336	96277	119752
1337	96350	119682
1338	96427	119616
1339	96497	119542
1340	96576	119478
1341	96634	119388
1342	96705	119316
1343	96790	119259
1344	96863	119189
1345	96944	119127
1346	97037	119082
1347	97109	119010
1348	97174	118928
1349	97256	118869
1350	97328	118797
1351	97408	118734
1352	97497	118683
1353	97564	118604
1354	97625	118519
1355	97700	118451
1356	97749	118350
1357	97816	118272
1358	97874	118184
1359	97969	118139
1360	98040	118066
1361	98115	117997
1362	98215	117960
1363	98292	117893
1364	98364	117821
1365	98449	117765
1366	98514	117684
1367	98569	117591
1368	98639	117517
1369	98689	117419
1370	98774	117362
1371	98857	117303
1372	98947	117252
1373	99004	117162
1374	99070	117083
1375	99143	117012
1376	99233	116961
1377	99304	116888
1378	99367	116804
1379	99448	116743
1380	99531	116684
1381	99622	116634
1382	99703	116573
1383	99762	116486
1384	99818	116394
1385	99911	116346
1386	99984	116276
1387	100072	116222
1388	100165	116174
